Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Atl Goianiense,38,28,41.1,531,163,3,5,946,44,12615,16234,5086,5892,5597,6602,1610,2876,16,30.3,405,1259,266,96,1432,598,1416,583,367,265,242,76,240,555,315,419,344,802,10,20353,2145,6253,8869,5459,737,20348,632,270,10822,488,116,560,295,12489,109,11,4,477,426,48,5,9,2,1646,569,608,50,57,175,117,7,9,6,3,0,54.3,189,484,798,135,288,520,43,32
Atlanta Utd,34,45,52.4,486,157,5,7,861,76,13502,16585,5775,6429,5750,6589,1631,2747,30,38.0,373,1066,276,83,1303,667,1286,513,331,258,201,54,253,486,233,359,287,711,9,20157,2298,6860,8528,4939,863,20150,520,247,11338,394,202,456,241,13360,54,2,1,369,309,46,6,6,1,1425,400,385,70,49,164,113,5,6,3,3,0,49.9,238,500,1066,150,206,450,25,29
Atlas,34,35,41.7,448,142,2,3,752,63,12572,16008,5273,5970,5568,6480,1503,2867,23,26.9,308,1023,201,76,1119,459,1106,578,348,279,236,63,284,585,301,386,321,617,5,19814,1984,6355,9356,4283,620,19811,534,243,11288,371,100,549,284,12442,90,12,5,377,376,35,2,8,0,1600,533,573,34,55,144,88,8,8,7,1,0,45.1,176,505,948,116,304,467,21,38
Atlé Tucumán,27,28,35.4,343,103,2,4,581,43,6979,10419,3005,3781,2773,3648,984,2219,20,24.1,239,766,218,63,910,258,900,535,333,251,220,64,253,459,206,356,253,715,5,13787,1385,4205,6218,3500,532,13783,353,143,5673,208,59,497,205,6916,57,3,1,355,244,58,3,3,1,1221,589,521,24,27,95,68,11,3,2,1,0,27.5,203,525,467,47,231,419,15,25
Atlético,34,54,43.0,460,152,5,7,832,100,14837,17712,6383,7013,6477,7293,1598,2556,34,28.3,346,1093,225,52,1364,586,1353,569,371,283,236,50,271,553,282,365,279,730,15,21447,2474,7571,9708,4356,645,21440,596,293,12522,454,130,472,290,14692,78,5,3,328,387,41,7,5,0,1548,429,367,49,61,168,107,7,5,5,0,0,54.7,79,225,733,173,305,520,18,25
Atlético Mineiro,38,47,46.8,505,149,11,13,931,76,16634,20059,7250,8034,7360,8327,1730,2918,23,30.8,357,1343,296,98,1545,605,1533,691,418,330,273,88,333,621,288,372,312,781,5,24139,2350,7445,11460,5426,644,24126,621,277,13607,512,107,592,337,16495,113,12,9,495,466,60,11,7,1,1618,549,505,78,54,165,110,9,7,5,2,0,56.7,137,326,895,155,264,486,22,36
Austin,34,39,40.0,338,100,4,6,615,73,12943,15909,5142,5784,5997,6816,1565,2605,29,28.6,248,1031,276,86,1263,442,1247,464,284,241,152,71,216,489,273,383,235,659,12,19160,2382,6994,7870,4434,651,19154,504,231,10372,319,102,408,255,12780,87,3,1,444,409,64,6,9,0,1251,356,393,32,48,178,129,8,9,8,1,0,54.6,181,481,1174,202,252,482,35,40
Bahia,38,49,52.5,512,172,2,2,946,91,18086,21267,8166,8958,8006,8932,1447,2352,40,38.6,414,1403,346,98,1746,736,1738,587,375,283,233,71,279,611,332,330,334,698,16,25054,2328,7731,11732,5812,752,25052,646,288,15248,563,136,508,316,17957,82,1,0,436,478,67,1,3,0,1535,473,414,85,49,164,114,10,3,2,1,0,46.4,145,335,1193,218,238,534,52,82
Banfield,27,21,28.2,272,79,3,6,457,34,6557,9571,2389,2979,2995,3835,1022,2132,14,16.6,185,602,150,67,767,315,760,550,351,264,223,63,260,507,247,320,239,650,6,12698,1513,4535,5490,2821,416,12692,446,206,5838,242,52,457,276,6493,74,6,4,322,298,54,3,5,0,1153,493,483,61,36,109,71,5,5,3,2,0,31.8,103,320,543,116,220,411,26,10
Bari,38,38,39.3,485,122,4,6,860,59,13275,17031,5189,5994,6149,7197,1669,2962,25,27.3,356,1048,277,107,1332,604,1318,593,390,312,222,59,281,526,245,388,342,669,5,20988,2044,7059,9260,4903,716,20982,663,315,11680,417,137,533,345,13166,105,4,2,542,541,52,3,5,2,1672,509,525,49,49,141,94,7,5,4,0,1,40.3,106,337,612,175,280,576,28,22
Barracas Central,27,15,20.8,306,78,1,1,524,25,7179,10169,3065,3776,3011,3817,925,1951,10,14.1,220,614,121,51,728,290,720,508,302,249,209,50,271,496,225,315,236,770,12,13601,1666,4782,6260,2730,345,13600,550,238,6131,221,46,507,337,7113,58,2,2,315,339,30,1,4,3,1090,495,457,82,33,134,104,8,4,4,0,0,36.4,178,447,553,133,278,512,30,24
Belgrano,27,33,28.6,291,104,0,1,495,56,8124,11096,3573,4272,3366,4194,948,1940,25,22.9,224,724,178,69,909,340,899,486,294,229,187,70,232,438,206,299,250,751,5,14260,1721,4863,6329,3213,487,14259,421,192,7020,226,73,457,248,8039,74,4,3,321,254,61,0,2,1,1156,439,438,86,32,117,86,7,2,2,0,0,30.9,133,397,677,95,202,548,48,26
Benfica,34,76,79.2,581,231,4,6,1046,132,17244,20589,8474,9361,6851,7778,1495,2396,59,58.8,455,1509,424,75,1880,807,1868,657,420,273,270,114,343,657,314,397,298,457,10,24432,1845,6243,11251,7197,1085,24426,773,369,13658,607,241,544,310,17122,67,3,2,391,392,76,5,7,0,1929,382,358,71,28,113,82,16,7,4,3,0,35.4,65,173,653,136,223,362,18,21
Birmingham City,46,48,50.0,579,167,2,3,1010,81,13841,18735,5603,6618,6178,7501,1733,3536,30,32.0,434,1019,272,60,1398,751,1386,816,512,397,316,103,390,754,364,653,478,991,18,24358,3186,9359,10021,5242,891,24355,899,392,12294,449,231,787,478,13714,101,3,1,582,476,80,3,0,2,2195,757,742,69,65,215,152,11,0,0,0,0,59.7,304,867,1313,273,386,700,82,47
Blackburn,46,59,63.0,565,193,0,1,993,101,19583,24775,8905,10110,8277,9699,1931,3631,48,45.0,426,1490,443,63,2022,651,2012,822,513,376,334,112,400,817,417,613,442,898,19,29899,3416,10820,12200,7146,1046,29898,693,334,16135,433,205,704,402,19490,96,5,1,480,413,108,1,6,3,2337,690,622,49,74,226,154,10,6,4,1,1,66.3,133,518,1392,261,402,612,38,80
Boavista,34,37,37.0,334,106,4,5,593,63,11747,15162,4863,5541,5184,6054,1439,2813,18,22.5,242,841,195,83,1008,411,1000,554,343,279,229,46,281,554,273,348,273,705,15,18742,2038,6825,8514,3559,495,18737,520,223,9582,291,72,530,252,11651,105,8,6,498,452,68,4,6,1,1600,444,427,22,62,172,111,3,6,4,0,2,58.3,138,424,616,148,316,517,21,24
Boca Juniors,27,28,33.6,283,105,1,1,484,46,10148,12974,4188,4810,4573,5391,1120,2092,18,22.5,198,795,187,47,1054,427,1045,490,317,223,210,57,263,475,212,261,239,513,6,15919,1539,5191,7496,3364,436,15918,508,241,8275,267,80,452,251,10060,78,6,4,345,350,37,0,4,0,1157,354,342,57,23,105,80,11,4,2,2,0,30.5,63,257,565,140,214,410,21,13
Botafogo (RJ),38,58,58.9,570,200,4,6,1040,101,15519,18939,6455,7261,7082,8011,1672,2768,41,40.5,444,1415,352,105,1703,629,1687,624,400,308,241,75,292,582,290,366,318,781,11,22951,2102,6428,10989,5730,837,22945,601,295,13050,452,155,521,388,15368,96,4,1,577,409,68,5,6,0,1589,558,549,62,29,132,102,18,6,5,1,0,38.2,143,376,980,132,238,517,26,49
Braga,34,70,65.3,545,202,5,6,992,119,15375,18817,6381,7127,6919,7798,1696,2966,49,43.9,422,1291,382,112,1678,601,1664,518,313,225,237,56,251,536,285,328,310,593,16,22609,1972,6552,10293,5932,952,22603,586,273,12669,444,149,542,270,15258,80,4,2,410,385,62,3,7,2,1685,461,456,31,50,127,79,6,7,6,0,1,46.4,151,386,985,151,251,419,24,72
Brescia,38,41,42.3,479,132,3,3,837,65,12544,16551,5189,6157,5485,6611,1516,2820,25,27.5,350,1060,255,109,1251,552,1243,585,361,294,233,58,280,581,301,479,330,838,7,20861,2346,6977,9302,4795,650,20858,516,218,11165,413,103,594,255,12448,95,2,2,567,518,56,3,8,0,1721,644,662,79,40,144,101,9,8,4,3,1,38.5,174,436,820,147,308,611,37,16
Bristol City,46,52,52.8,522,159,7,7,867,83,17301,22755,7332,8338,8061,9635,1662,3770,28,34.9,378,1233,299,83,1523,731,1509,736,447,339,309,88,389,795,406,502,428,826,11,27589,3094,9199,12804,5861,874,27582,684,293,14376,481,188,686,342,17174,71,1,1,446,470,88,4,5,2,2278,741,869,26,51,188,138,13,5,4,1,0,48.8,231,802,1512,262,230,584,37,73
CF Montréal,34,46,44.4,357,125,4,4,645,84,15650,18693,7442,8177,6636,7485,1184,2161,36,31.4,271,1046,222,45,1231,515,1218,486,310,247,183,56,245,463,218,369,281,717,13,22136,2565,8185,9769,4335,570,22132,471,224,13323,427,111,505,253,15553,75,3,1,398,349,51,4,5,1,1546,299,354,47,64,182,119,8,5,5,0,0,64.3,77,294,1023,229,275,527,27,45
Calcio Lecco 1912,38,34,47.2,508,153,3,6,855,52,11849,16002,4473,5374,5363,6536,1811,3320,26,30.9,361,903,236,97,1139,506,1123,598,368,301,234,63,259,498,239,383,343,793,11,20204,2487,7732,8265,4440,711,20198,536,249,9715,317,102,601,295,11718,101,4,2,551,470,50,2,8,0,1745,717,635,91,74,197,123,6,8,7,0,1,57.6,237,571,974,168,343,572,23,25
Cardiff City,46,48,44.3,499,170,2,2,861,83,16255,21236,6834,7932,7032,8425,1982,3787,34,29.9,364,1036,216,77,1312,629,1301,776,492,377,318,81,389,719,330,503,495,967,15,26343,3047,9815,11573,5210,707,26341,764,330,14097,450,184,691,330,16106,81,1,1,436,442,55,1,4,1,2170,822,773,86,70,195,126,12,4,2,0,2,64.4,269,807,1281,181,352,624,24,29
Casa Pia,34,37,29.8,352,115,3,4,613,70,10877,14094,4751,5423,4736,5551,1183,2413,27,21.8,256,877,165,55,985,472,972,499,331,248,189,62,270,560,290,366,286,712,7,17791,2271,6767,7656,3557,481,17787,619,281,9050,306,105,598,271,10780,76,4,2,478,407,67,4,1,0,1585,341,423,61,50,159,109,10,1,1,0,0,47.6,155,485,843,132,313,562,35,22
Catanzaro,38,55,45.0,399,150,3,4,715,97,17440,20869,7684,8512,7922,8873,1495,2652,40,31.5,305,1062,233,66,1318,643,1312,427,251,223,176,28,213,390,177,310,271,776,10,24507,3087,9384,10865,4430,642,24503,498,212,14468,462,130,564,249,17228,92,3,2,442,612,60,3,8,1,1597,411,482,57,50,172,122,10,8,7,1,0,56.4,169,474,1844,163,157,601,32,27
Cen. Córdoba–SdE,27,28,28.3,310,89,3,4,557,48,9378,12343,3991,4622,4120,4944,1075,2103,21,17.7,230,815,141,41,1074,403,1062,488,307,225,219,44,212,470,258,282,239,517,6,15467,1358,4525,8003,3108,418,15463,566,246,7849,314,92,477,269,9290,58,4,0,334,316,43,3,3,0,1292,337,410,45,36,114,77,6,3,2,1,0,33.4,100,328,548,124,175,323,24,23
Cercle Brugge,30,43,52.0,483,140,2,3,791,65,6972,11706,2836,4104,2905,4446,914,2370,34,35.1,345,912,309,58,1215,378,1199,632,403,277,255,100,327,684,357,467,327,602,8,15895,1278,3894,7009,5202,904,15892,572,279,8084,378,142,719,328,6883,65,3,2,391,355,73,0,1,2,1913,848,895,26,34,123,90,11,1,0,1,0,39.3,258,711,663,37,180,365,11,54
Charleroi,30,26,33.6,326,107,3,4,563,48,10737,14423,4763,5773,4222,5271,1247,2380,20,29.2,252,872,232,69,1210,437,1195,563,368,292,224,47,286,553,267,372,336,622,8,17950,1845,5591,8128,4418,595,17946,489,231,11653,409,110,500,266,10616,58,4,1,359,297,61,3,5,1,1687,512,556,70,48,150,103,8,5,5,0,0,50.3,190,496,866,147,189,411,45,42
Charlotte,34,45,47.3,382,140,3,5,695,74,12203,15338,4657,5285,5815,6680,1452,2661,34,30.2,297,1043,262,68,1298,574,1293,435,254,204,156,75,217,420,203,371,251,713,11,18621,2290,6441,8039,4308,683,18616,467,213,10446,354,168,410,232,12108,76,2,0,357,333,56,4,1,0,1413,321,373,31,37,154,116,12,1,0,1,0,47.5,129,351,954,167,226,512,35,59
Chaves,34,30,34.9,374,111,5,6,641,46,10054,13419,4192,4877,4215,5065,1389,2716,18,22.3,268,769,157,74,925,414,917,473,282,250,176,47,254,505,251,364,294,730,12,17046,2077,6175,7639,3429,467,17040,534,254,8403,299,67,531,265,9961,103,9,5,457,495,57,4,8,0,1535,482,491,74,72,184,110,4,8,6,2,0,65.3,224,574,716,170,326,580,35,15
Chicago Fire,34,40,45.1,409,143,5,5,716,68,13790,17177,6035,6765,6193,7121,1275,2477,28,31.4,301,998,254,58,1243,568,1231,571,375,266,235,70,273,553,280,381,350,603,18,20738,1889,6728,9503,4665,707,20733,538,246,11871,405,162,506,267,13678,68,1,0,429,336,47,3,8,1,1567,397,402,50,62,168,107,4,8,8,0,0,58.2,111,355,693,164,262,382,25,33
Cittadella,38,40,41.7,480,139,1,3,815,67,10895,15632,4266,5333,4675,6017,1596,3218,28,30.6,354,961,295,124,1331,541,1320,661,399,314,256,91,339,679,340,480,364,714,4,20094,1941,6093,8637,5605,824,20091,588,242,9713,359,131,691,315,10796,102,2,1,605,523,52,1,5,1,1962,750,744,54,47,159,113,11,5,5,0,0,43.0,206,472,799,149,254,512,32,27
Club Brugge,30,60,61.4,471,169,8,10,837,97,13835,17084,5353,6265,6314,7312,1741,2682,39,44.4,363,1184,319,88,1552,658,1535,481,320,195,207,79,238,469,231,334,263,437,4,20384,1616,5575,9709,5284,908,20374,598,281,14693,495,197,468,290,13691,58,3,3,323,312,49,7,3,0,1644,481,374,60,29,98,69,10,3,0,0,3,28.3,177,360,912,119,183,277,29,55
Colorado Rapids,34,57,60.3,413,151,10,15,763,97,13135,16406,5985,6744,5480,6366,1293,2414,37,40.1,317,1205,317,67,1568,560,1550,525,305,233,211,81,284,585,301,397,282,639,10,20019,1771,5696,8807,5693,820,20004,553,251,11375,417,165,528,272,13028,51,2,1,327,384,73,11,4,2,1376,381,455,45,60,163,105,6,4,3,0,1,47.9,143,428,813,152,260,423,15,78
Columbus Crew,34,72,58.9,473,173,3,6,873,122,17957,20793,8867,9543,7388,8223,1329,2143,52,37.7,380,1429,309,70,1618,646,1608,484,282,215,190,79,247,439,192,323,276,455,17,24025,1987,7245,11074,5897,810,24019,621,301,14900,491,185,463,323,17692,45,5,1,283,451,67,4,4,0,1523,263,296,111,36,139,103,12,4,3,0,1,41.8,83,252,985,161,180,352,14,29
Como,38,58,51.3,522,177,4,5,911,96,13640,17672,5945,6927,5958,7141,1392,2651,39,37.3,391,1087,312,104,1424,569,1404,515,307,241,203,71,255,463,208,414,342,768,8,21743,2171,7041,9868,5069,753,21738,552,243,12072,426,133,602,305,13494,83,5,1,564,483,56,4,3,1,1818,584,576,58,40,126,87,13,3,3,0,0,36.4,149,387,945,125,165,552,45,28
Corinthians,38,54,50.0,553,192,5,6,986,97,13954,17320,5843,6624,6211,7099,1538,2649,36,34.0,424,1163,303,88,1436,620,1426,661,387,293,284,84,334,708,374,427,359,812,11,21612,2235,6886,9954,4995,753,21606,671,317,12114,457,140,549,368,13837,111,7,3,492,530,61,5,7,2,1536,480,474,107,45,179,135,10,7,6,1,0,49.4,134,361,795,176,278,547,23,22
Cosenza,38,47,45.1,467,145,4,6,801,83,12557,16577,5154,5984,5534,6676,1568,3062,37,30.2,325,997,260,95,1257,539,1236,543,348,250,236,57,242,538,296,412,311,951,5,20718,2395,7052,9167,4683,692,20712,471,203,10572,381,127,565,266,12419,131,5,2,518,486,57,4,5,1,1667,579,637,55,42,155,112,11,5,3,2,0,45.0,213,600,1237,157,183,628,41,36
Coventry City,46,66,66.3,601,189,3,6,1047,110,19310,24079,8743,9880,8462,9801,1641,3252,39,45.0,456,1545,400,88,1964,809,1951,817,489,396,324,97,362,698,336,543,424,902,19,29209,3250,9726,12668,7056,1009,29203,715,309,16189,566,226,807,428,19194,89,3,0,523,526,76,5,3,4,2218,608,671,56,59,197,142,12,3,3,0,0,52.2,165,476,1241,250,385,638,31,47
Cremonese,38,49,56.9,628,177,5,5,1139,85,15594,19368,6385,7276,7240,8427,1666,2768,29,45.9,477,1349,421,168,1868,841,1849,551,341,250,221,80,273,493,220,393,312,674,9,23448,2226,7149,10083,6441,993,23443,604,289,13213,538,194,577,300,15430,97,8,3,545,428,64,2,3,1,1838,638,580,70,32,137,105,16,3,2,1,0,34.7,123,355,1055,223,184,507,47,20
Criciúma,38,42,38.2,504,166,0,0,868,69,11892,15395,4912,5689,5083,6015,1575,2836,27,31.0,366,1054,264,91,1310,485,1296,645,405,347,225,73,329,705,376,478,335,978,13,19804,2402,6914,8459,4669,647,19804,649,310,10114,397,101,583,384,11798,99,6,3,503,391,70,0,6,1,1646,568,521,58,61,199,137,6,6,4,2,0,63.6,184,470,699,145,347,654,28,14
Cruz Azul,34,43,53.6,512,157,5,7,885,71,15052,18530,6104,6804,6641,7569,1908,3197,30,34.8,379,1255,317,105,1477,628,1464,520,330,233,238,49,272,617,345,304,275,531,8,21966,1829,6494,10783,4889,763,21959,494,258,12740,447,118,514,305,14844,85,4,0,356,328,62,3,8,1,1736,449,488,74,43,125,83,10,8,6,0,2,38.7,127,372,939,121,266,405,24,45
Cruzeiro,38,43,40.4,492,152,4,5,896,74,15498,18977,7141,7987,6402,7332,1501,2590,30,26.4,366,1229,289,73,1452,642,1437,600,389,250,266,84,289,582,293,393,301,753,18,22879,2239,7005,10624,5448,687,22874,667,306,13097,532,113,513,285,15364,97,6,2,486,416,54,0,2,1,1583,441,479,61,41,173,133,12,2,2,0,0,49.8,80,220,775,179,271,553,21,22
Cuiabá,38,28,32.7,379,111,4,5,676,49,12134,15383,5191,5908,5125,5977,1470,2598,16,20.6,276,990,211,71,1123,486,1106,597,374,323,224,50,285,557,272,404,302,883,12,19387,2350,6790,8703,4112,529,19382,645,316,10182,348,91,514,326,12023,107,1,0,446,415,55,4,7,0,1436,519,493,67,49,181,131,10,7,6,1,0,53.9,213,474,762,150,340,685,30,11
D.C. United,34,52,53.9,473,158,5,5,826,93,10850,14600,4679,5570,4412,5413,1465,2774,41,40.2,346,968,298,83,1246,477,1230,591,372,268,242,81,308,591,283,395,314,608,10,18249,1793,5464,8157,4833,804,18244,496,229,9898,378,111,480,273,10739,95,7,4,473,382,73,4,5,2,1608,689,502,59,70,157,89,2,5,5,0,0,60.6,358,815,1019,119,233,412,18,73
Defensa y Just,27,25,30.7,361,107,1,1,640,43,9393,12293,3990,4647,4008,4805,1187,2148,21,23.0,273,870,188,66,1027,352,1019,438,268,198,186,54,226,428,202,317,248,661,2,15547,1729,5061,7134,3503,444,15546,442,199,7836,294,67,525,244,9295,76,6,3,296,293,35,1,6,2,1210,491,444,67,33,102,68,8,6,3,3,0,34.4,164,388,684,111,263,468,19,12
Deportivo Riestra,27,26,27.1,262,92,3,4,439,42,3905,7183,1527,2156,1473,2406,790,2134,14,19.1,182,542,158,33,673,186,664,501,318,244,196,61,238,470,232,327,259,854,4,10540,1634,3879,4112,2670,451,10536,375,164,3602,151,39,462,240,3844,66,5,2,348,277,32,4,4,0,1036,508,608,53,27,122,95,12,4,4,0,0,35.9,263,730,672,37,253,616,42,35
Estoril,34,49,39.8,391,135,2,2,675,85,12142,15367,4855,5565,5628,6507,1408,2554,27,25.6,281,875,203,51,1060,570,1052,538,335,249,228,61,261,539,278,359,269,687,18,19136,2095,6711,8676,3943,631,19134,691,313,10553,444,125,526,287,12048,77,5,0,459,412,54,0,3,3,1489,367,478,58,57,166,111,10,3,2,1,0,52.2,94,335,726,182,310,482,15,38
Estrela,34,29,39.6,369,105,1,1,631,50,11061,14750,4434,5279,5054,6040,1371,2681,18,27.2,281,777,219,67,1057,405,1046,574,381,265,242,67,314,582,268,390,281,709,9,18594,2114,7050,8013,3740,608,18593,590,262,9084,284,113,567,269,10973,76,7,3,419,419,81,0,4,1,1685,527,490,116,53,148,95,7,4,2,1,1,51.1,126,361,849,175,284,473,37,48
Estudiantes–LP,27,35,33.1,358,123,3,5,631,62,10699,13795,4451,5204,4782,5659,1245,2221,23,23.9,274,1000,209,71,1260,386,1247,485,301,188,244,53,215,450,235,318,276,581,6,17005,1389,4584,8696,3889,552,17000,505,250,8832,337,91,487,262,10607,66,1,1,329,286,42,2,4,2,1298,519,524,49,34,103,71,5,4,4,0,0,33.9,92,255,505,143,207,417,35,18
Eupen,30,24,29.4,297,95,1,1,508,41,10219,13665,4021,4860,4634,5618,1226,2417,18,19.1,217,722,157,48,976,410,967,543,342,292,190,61,258,549,291,388,320,729,17,17166,2293,6572,7497,3269,461,17165,433,184,11227,338,101,465,249,10117,56,2,1,392,306,74,1,6,4,1520,376,487,43,58,167,112,5,6,4,1,1,52.4,110,369,846,153,272,476,21,32
Excelsior,34,48,46.9,377,137,1,1,659,83,11216,14901,4234,5005,4908,5804,1826,3348,43,33.6,297,911,220,76,1037,574,1026,602,373,345,195,62,283,567,284,418,351,819,12,18982,2682,7586,7652,3947,601,18981,620,310,9995,366,167,522,277,11096,51,4,1,279,273,42,1,2,1,1640,488,538,26,73,204,132,6,2,2,0,0,60.6,332,944,1311,186,266,545,42,20
FC Cincinnati,34,57,48.8,482,178,3,4,852,100,14769,18039,6332,7169,6860,7744,1250,2182,42,39.7,366,1089,314,43,1412,635,1401,562,368,255,234,73,271,494,223,378,304,561,17,21803,1961,6825,9914,5279,810,21799,727,316,12784,489,184,527,321,14663,82,4,3,451,400,86,2,6,2,1623,451,368,84,48,144,97,7,6,5,1,0,45.4,98,284,738,149,238,425,28,25
FC Dallas,34,51,42.7,414,146,5,6,729,90,14097,17111,6986,7699,5650,6458,1151,2165,36,31.8,297,967,261,59,1147,411,1140,487,327,242,182,63,233,455,222,346,273,693,18,20541,2371,7692,9015,3992,616,20535,418,181,11748,342,115,478,284,13976,74,1,1,430,397,63,4,8,2,1390,350,347,60,56,191,134,7,8,5,3,0,55.8,132,327,960,141,219,441,12,42
FC Juárez,34,42,35.7,446,132,6,6,780,73,11744,15129,4614,5251,5373,6334,1527,2783,30,24.8,333,971,202,67,1184,549,1173,562,340,291,219,52,264,589,325,335,341,700,9,19027,2058,6234,8873,4149,591,19021,616,289,10505,436,118,592,209,11600,88,4,1,394,369,52,5,5,1,1717,444,467,116,60,163,103,2,5,4,1,0,54.0,133,408,752,142,296,524,17,16
Famalicão,34,37,36.4,446,118,3,5,770,64,11238,14426,4055,4718,5130,5967,1838,3025,23,24.6,316,822,207,107,976,507,968,548,360,286,197,65,270,534,264,372,299,687,7,18291,2235,7434,7356,3716,598,18286,690,342,9939,357,107,544,279,11142,104,9,3,513,551,77,4,8,2,1546,550,449,48,41,149,107,8,8,3,3,2,49.2,177,428,904,212,253,477,48,49
Farense,34,46,44.9,389,142,5,7,645,75,9386,13093,3328,4026,4425,5375,1464,3009,26,22.2,260,769,185,72,944,406,932,515,318,274,199,42,244,519,275,472,332,1004,5,17135,2595,6848,7046,3391,507,17128,454,209,7767,277,97,469,187,9306,79,6,3,472,413,58,4,7,1,1513,601,653,51,51,192,141,7,7,6,1,0,62.6,198,646,719,142,385,734,43,18
FeralpiSalò,38,43,40.5,464,138,4,4,821,77,11704,15861,4833,5820,5223,6369,1442,2910,29,29.9,342,938,259,96,1242,597,1231,530,333,292,191,47,239,465,226,430,364,782,5,20064,2231,6772,8837,4695,736,20060,683,298,9931,386,152,591,317,11603,82,4,2,481,499,48,2,9,1,1801,692,629,21,65,167,102,4,9,8,1,0,53.1,273,705,913,127,328,606,26,22
Feyenoord,34,90,96.0,694,253,4,7,1275,151,17206,20703,7894,8809,7654,8681,1258,2221,69,71.1,554,1651,496,69,2088,924,2075,580,344,237,238,105,262,502,240,352,255,467,8,24653,1672,6007,11485,7370,1359,24646,776,395,14844,609,318,561,351,17021,35,1,0,303,352,68,7,1,0,1874,504,368,52,26,85,59,17,1,1,0,0,26.5,128,331,1316,149,98,312,39,91
Flamengo,38,60,58.5,559,199,9,11,1028,111,16485,19837,7595,8421,6761,7686,1644,2621,42,41.0,435,1539,368,78,1774,729,1758,645,421,287,244,114,276,572,296,380,293,655,10,23844,2111,6435,11133,6472,942,23833,777,354,13960,578,187,526,338,16297,75,4,2,434,500,55,8,5,1,1578,513,443,50,42,130,87,10,5,2,2,1,43.8,155,375,1112,157,200,470,51,23
Fluminense,38,31,38.0,449,154,1,4,807,53,17063,20314,8626,9410,6501,7345,1281,2353,26,26.0,345,1294,210,77,1390,629,1373,652,393,283,273,96,315,611,296,362,299,762,16,24572,2436,7701,11541,5518,628,24568,869,378,14189,456,146,595,442,16933,115,5,2,462,542,38,3,4,0,1578,439,506,68,39,173,134,13,4,4,0,0,53.0,88,305,670,159,284,545,28,29
Fortaleza,38,51,44.2,451,141,3,5,807,93,11534,15022,4883,5594,4947,5920,1502,2850,38,25.2,330,1049,189,59,1169,544,1156,654,404,316,280,58,297,633,336,464,329,906,19,19190,2161,6039,9370,4003,600,19185,610,303,10140,401,148,528,320,11425,99,10,3,495,464,59,3,5,0,1550,502,548,35,39,195,156,13,5,5,0,0,52.5,194,511,682,150,299,645,44,13
Fortuna Sittard,34,36,45.2,471,151,3,7,814,60,9749,13539,3896,4717,4250,5280,1300,2725,24,32.1,331,823,267,114,1097,547,1089,627,379,323,225,79,321,626,305,408,334,619,4,17477,1947,5954,7389,4346,758,17470,634,285,8619,366,118,502,250,9645,58,3,1,369,315,40,6,2,2,1778,646,554,99,56,151,97,9,2,2,0,0,49.5,194,615,829,107,249,462,44,32
Genk,30,49,60.7,491,162,2,5,872,79,11988,15285,4643,5529,5379,6345,1513,2509,30,43.6,384,1195,310,74,1597,557,1580,499,309,223,192,84,208,417,209,335,287,558,7,18822,1911,5385,8372,5264,889,18817,649,311,12896,427,203,549,317,11850,64,6,3,365,354,75,4,3,0,1662,465,449,21,31,116,84,10,3,2,1,0,34.5,160,437,925,117,169,414,33,20
Gent,30,50,51.4,435,161,4,6,762,79,12627,16246,4737,5742,5689,6723,1836,2982,30,32.4,321,1120,321,75,1409,614,1387,582,377,271,236,75,297,552,255,333,326,571,9,19781,1733,5532,9196,5258,847,19775,548,249,13442,545,180,463,285,12500,40,6,1,311,328,48,6,11,0,1715,513,496,89,38,122,81,7,11,8,3,0,42.6,143,327,669,162,222,436,36,17
