Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
ar Rosario Central,6,8,8.1,86,24,0,0,146,12,1852,2489,840,976,719,889,232,460,4,4.6,64,153,35,15,196,91,194,158,85,80,61,17,83,142,59,61,59,96,2,3177,247,900,1551,755,103,3177,110,53,1504,64,18,93,61,1837,13,0,0,75,83,4,0,0,0,297,82,108,37,7,21,14,1,0,0,0,0,6.5,23,88,92,9,48,68,6,2
ar San Lorenzo,8,7,7.5,92,24,0,0,156,11,1795,2623,846,1020,679,914,207,507,6,3.4,56,136,33,11,197,102,195,139,84,57,66,16,76,154,78,92,57,156,4,3501,347,1150,1586,816,109,3501,148,66,1577,74,21,129,72,1771,28,1,0,116,102,12,0,1,0,345,122,120,54,8,28,20,2,1,1,0,0,7.4,24,103,125,13,52,96,3,1
ar Talleres,8,11,7.2,110,28,0,0,195,19,2528,3259,1171,1344,1026,1232,276,520,8,5.5,86,203,54,16,256,93,254,173,100,83,75,15,85,164,79,89,78,152,3,4196,401,1289,2029,932,115,4196,164,78,2154,90,15,130,70,2509,22,2,0,102,86,9,0,2,0,385,115,96,31,9,24,15,2,2,2,0,0,8.2,53,118,160,14,53,110,5,3
bo Bolívar,8,12,11.1,125,46,1,2,233,22,2998,3692,1233,1398,1417,1621,291,493,8,8.5,93,238,65,20,337,109,334,112,66,55,43,14,57,126,69,86,54,152,8,4591,549,1543,1956,1130,133,4589,170,81,2477,89,19,133,63,2974,12,2,0,90,73,14,2,1,0,302,100,101,36,11,49,38,2,1,1,0,0,13.2,19,57,235,40,76,99,7,15
bo The Strongest,8,9,8.8,90,25,2,2,154,15,2401,3169,1077,1230,973,1189,248,518,6,6.2,68,173,43,20,246,109,244,135,96,67,57,11,62,135,73,77,53,225,2,4099,518,1402,1910,832,109,4097,120,50,2091,88,13,139,62,2379,16,1,0,76,66,9,0,0,0,335,90,108,30,10,48,38,5,0,0,0,0,10.9,37,116,139,41,94,165,5,5
br Atlético Mineiro,13,22,17.7,177,58,0,1,313,36,6563,7772,2928,3197,2889,3240,578,970,16,14.2,135,527,97,33,589,224,585,212,130,96,82,34,98,181,83,128,106,260,3,9145,720,2481,4552,2171,224,9144,230,101,5326,194,28,217,114,6513,33,0,0,160,129,25,0,1,0,565,212,164,33,11,34,23,6,1,1,0,0,12.9,41,111,334,49,79,159,10,23
br Botafogo (RJ),13,21,18.8,156,47,1,1,276,36,4364,5513,1917,2142,1848,2162,477,932,15,10.4,126,347,88,15,441,170,438,190,117,96,71,23,92,172,80,131,119,347,2,6977,827,2274,3342,1424,214,6976,212,90,3754,119,50,210,113,4327,39,4,1,166,136,20,1,2,0,496,220,211,62,14,38,24,4,2,1,0,1,11.8,51,182,301,42,129,239,8,7
br Flamengo,10,12,15.6,157,45,1,1,276,21,4131,5174,1868,2140,1768,2060,396,715,7,12.1,114,391,123,27,502,212,497,159,102,70,64,25,70,155,85,102,69,145,1,6222,535,1617,2981,1681,279,6221,213,111,3379,141,46,165,91,4083,16,1,0,101,116,15,1,0,0,457,148,124,28,6,35,29,5,0,0,0,0,7.1,44,136,299,55,82,112,2,7
br Fluminense,10,13,7.5,102,29,1,1,176,22,4736,5488,2350,2519,1920,2092,300,569,10,5.9,72,357,55,19,372,135,370,159,107,64,73,22,65,148,83,94,66,211,4,6525,562,1942,3273,1368,141,6524,213,108,3693,118,28,146,108,4708,33,0,0,97,118,15,0,2,0,395,99,100,43,10,38,27,3,2,1,1,0,12.8,15,67,168,38,64,130,4,12
br Grêmio,8,10,10.7,98,33,1,1,180,17,2484,3218,1101,1254,1008,1218,274,534,5,7.1,66,202,58,12,261,138,256,134,83,69,54,11,66,123,57,96,64,177,1,4195,447,1294,1869,1086,190,4194,207,100,2159,107,42,174,100,2445,20,2,1,87,95,5,0,1,0,343,109,115,35,8,31,23,3,1,1,0,0,8.3,35,104,140,23,70,134,4,2
br Palmeiras,8,17,11.5,114,41,2,2,200,28,2751,3544,1143,1327,1129,1317,413,717,13,8.5,89,261,70,22,328,114,324,138,86,78,51,9,72,140,68,65,58,133,1,4416,370,1325,2096,1036,153,4414,173,68,2292,95,16,127,60,2727,15,0,0,100,108,19,1,0,0,328,155,124,73,9,28,19,2,0,0,0,0,6.9,25,90,164,33,68,76,3,10
br São Paulo,10,13,13.8,125,38,1,2,233,22,4634,5473,1901,2094,2163,2411,483,732,7,8.4,98,324,76,27,403,157,401,164,96,69,70,25,67,144,77,91,66,202,7,6549,573,2016,3292,1301,198,6547,207,94,3667,126,32,167,79,4589,22,1,1,112,112,18,1,0,0,433,158,118,34,4,27,23,7,0,0,0,0,5.9,53,101,217,47,78,133,3,6
cl Cobresal,6,3,4.4,54,10,1,1,94,5,1661,2191,674,795,735,880,222,407,2,3.6,46,161,21,12,171,71,170,97,62,58,32,7,57,116,59,67,42,118,2,2769,326,928,1286,575,63,2768,74,35,1349,57,10,87,53,1650,11,0,0,51,61,10,0,1,0,217,69,76,57,11,34,23,0,1,1,0,0,11.4,39,101,112,22,60,87,4,1
cl Colo-Colo,10,8,9.5,115,31,1,1,201,13,4244,5314,2085,2355,1702,2016,367,674,5,6.8,84,358,59,15,371,150,368,162,99,73,62,27,73,154,81,114,83,183,6,6375,517,1821,3157,1439,155,6374,173,83,3536,129,20,166,107,4211,37,4,3,125,87,12,1,0,0,452,146,147,28,8,27,19,3,0,0,0,0,8.3,43,118,282,42,83,101,9,11
cl Huachipato,6,6,5.9,77,28,0,0,128,10,1875,2610,781,967,791,1008,264,507,5,4.8,55,185,49,19,244,76,242,109,64,61,33,15,55,132,77,66,49,163,2,3303,399,1141,1428,766,119,3303,111,49,1444,53,13,89,47,1858,20,1,1,73,47,9,0,1,0,286,109,109,23,9,24,15,2,1,1,0,0,9.3,29,86,142,22,48,100,0,8
cl Palestino,6,6,7.0,73,28,0,0,115,7,1466,2080,624,749,592,743,223,465,3,4.0,44,115,26,12,127,60,127,99,62,34,52,13,48,128,80,89,52,123,3,2742,383,1003,1217,557,101,2742,91,51,1309,46,15,95,53,1450,19,1,1,67,46,14,0,2,2,286,57,92,36,11,36,26,1,2,1,1,0,11.1,42,114,120,8,66,89,7,5
co Junior,8,8,11.8,77,17,2,3,136,13,2764,3493,1189,1325,1189,1367,314,610,5,6.5,53,228,44,14,252,104,250,138,78,81,44,13,69,134,65,82,72,193,2,4350,515,1579,2037,778,117,4347,140,77,2427,92,25,131,43,2740,18,1,0,72,82,15,1,1,0,327,110,125,26,7,33,26,2,1,1,0,0,9.1,37,116,189,31,75,132,9,2
co Millonarios,6,6,8.7,103,31,1,1,180,9,1932,2540,909,1051,742,920,216,402,4,4.8,78,195,46,21,204,77,203,120,71,51,58,11,63,124,61,63,62,75,2,3217,258,859,1622,768,115,3216,119,73,1721,71,16,111,47,1918,10,2,0,60,51,14,0,1,1,281,88,76,28,12,29,18,0,1,1,0,0,11.8,24,73,98,16,49,48,4,1
ec Barcelona,6,6,6.6,71,18,2,2,126,9,2150,2670,927,1056,955,1118,221,376,3,3.4,49,174,45,15,210,80,207,102,61,42,48,12,46,99,53,65,51,96,1,3326,331,1038,1623,702,120,3324,108,56,1846,61,18,101,77,2138,16,0,0,77,62,5,1,1,0,278,56,101,33,9,19,10,1,1,1,0,0,5.0,27,61,138,18,55,81,2,0
