Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Cruzeiro,38,1.13,1.06,12.95,4.0,0.11,0.13,23.58,1.95,407.84,499.39,187.92,210.18,168.47,192.95,39.5,68.16,0.79,0.69,9.63,32.34,7.61,1.92,38.21,16.89,37.82,15.79,10.24,6.58,7.0,2.21,7.61,15.32,7.71,10.34,7.92,19.82,0.47,602.08,58.92,184.34,279.58,143.37,18.08,601.95,17.55,8.05,344.66,14.0,2.97,13.5,7.5,404.32,2.55,0.16,0.05,12.79,10.95,1.42,0.0,0.05,0.03,41.66,11.61,12.61,1.61,1.08,4.55,3.5,0.32,0.05,0.05,0.0,0.0,1.31,2.11,5.79,20.39,4.71,7.13,14.55,0.55,0.58,24.21,21.0,92.92,25.53,30.58,17.84,0.0,0.07,47.96,81.67,89.41,87.31,57.95,57.38,45.87,0.18,76.92,36.44,3.78
Cuiabá,38,0.74,0.86,9.97,2.92,0.11,0.13,17.79,1.29,319.32,404.82,136.61,155.47,134.87,157.29,38.68,68.37,0.42,0.54,7.26,26.05,5.55,1.87,29.55,12.79,29.11,15.71,9.84,8.5,5.89,1.32,7.5,14.66,7.16,10.63,7.95,23.24,0.32,510.18,61.84,178.68,229.03,108.21,13.92,510.05,16.97,8.32,267.95,9.16,2.39,13.53,8.58,316.39,2.82,0.03,0.0,11.74,10.92,1.45,0.11,0.18,0.0,37.79,13.66,12.97,1.76,1.29,4.76,3.45,0.26,0.18,0.16,0.03,0.0,1.42,5.61,12.47,20.05,3.95,8.95,18.03,0.79,0.29,26.63,22.11,71.45,19.08,23.74,17.34,0.03,-0.14,51.3,78.88,87.87,85.75,56.57,57.1,49.03,0.09,72.48,44.99,4.38
D.C. United,34,1.53,1.59,13.91,4.65,0.15,0.15,24.29,2.74,319.12,429.41,137.62,163.82,129.76,159.21,43.09,81.59,1.21,1.18,10.18,28.47,8.76,2.44,36.65,14.03,36.18,17.38,10.94,7.88,7.12,2.38,9.06,17.38,8.32,11.62,9.24,17.88,0.29,536.74,52.74,160.71,239.91,142.15,23.65,536.59,14.59,6.74,291.12,11.12,3.26,14.12,8.03,315.85,2.79,0.21,0.12,13.91,11.24,2.15,0.12,0.15,0.06,47.29,20.26,14.76,1.74,2.06,4.62,2.62,0.06,0.15,0.15,0.0,0.0,1.78,10.53,23.97,29.97,3.5,6.85,12.12,0.53,2.15,35.03,22.15,86.85,27.03,38.12,20.0,0.0,-0.04,57.84,74.32,84.01,81.5,52.81,57.54,46.2,-0.16,56.71,43.93,4.37
Defensa y Just,27,0.93,1.14,13.37,3.96,0.04,0.04,23.7,1.59,347.89,455.3,147.78,172.11,148.44,177.96,43.96,79.56,0.78,0.85,10.11,32.22,6.96,2.44,38.04,13.04,37.74,16.22,9.93,7.33,6.89,2.0,8.37,15.85,7.48,11.74,9.19,24.48,0.07,575.81,64.04,187.44,264.22,129.74,16.44,575.78,16.37,7.37,290.22,10.89,2.48,19.44,9.04,344.26,2.81,0.22,0.11,10.96,10.85,1.3,0.04,0.22,0.07,44.81,18.19,16.44,2.48,1.22,3.78,2.52,0.3,0.22,0.11,0.11,0.0,1.27,6.07,14.37,25.33,4.11,9.74,17.33,0.7,0.44,34.63,28.48,88.81,25.3,28.33,18.3,0.11,-0.18,52.53,76.41,85.86,83.41,55.25,57.06,45.02,0.04,66.67,42.24,4.04
Deportivo Riestra,27,0.96,1.0,9.7,3.41,0.11,0.15,16.26,1.56,144.63,266.04,56.56,79.85,54.56,89.11,29.26,79.04,0.52,0.71,6.74,20.07,5.85,1.22,24.93,6.89,24.59,18.56,11.78,9.04,7.26,2.26,8.81,17.41,8.59,12.11,9.59,31.63,0.15,390.37,60.52,143.67,152.3,98.89,16.7,390.22,13.89,6.07,133.41,5.59,1.44,17.11,8.89,142.37,2.44,0.19,0.07,12.89,10.26,1.19,0.15,0.15,0.0,38.37,18.81,22.52,1.96,1.0,4.52,3.52,0.44,0.15,0.15,0.0,0.0,1.33,9.74,27.04,24.89,1.37,9.37,22.81,1.56,1.3,41.33,26.0,56.41,17.81,25.22,20.59,0.0,-0.04,45.51,54.36,70.83,61.23,37.02,57.24,43.7,0.25,77.88,36.02,6.84
Estoril,34,1.44,1.17,11.5,3.97,0.06,0.06,19.85,2.5,357.12,451.97,142.79,163.68,165.53,191.38,41.41,75.12,0.79,0.75,8.26,25.74,5.97,1.5,31.18,16.76,30.94,15.82,9.85,7.32,6.71,1.79,7.68,15.85,8.18,10.56,7.91,20.21,0.53,562.82,61.62,197.38,255.18,115.97,18.56,562.76,20.32,9.21,310.38,13.06,3.68,15.47,8.44,354.35,2.26,0.15,0.0,13.5,12.12,1.59,0.0,0.09,0.09,43.79,10.79,14.06,1.71,1.68,4.88,3.26,0.29,0.09,0.06,0.03,0.0,1.54,2.76,9.85,21.35,5.35,9.12,14.18,0.44,1.12,24.85,23.91,78.88,22.35,29.71,17.53,0.03,0.23,43.42,79.01,87.24,86.49,55.13,55.35,45.32,-0.09,66.8,28.02,3.1
Estrela,34,0.85,1.16,10.85,3.09,0.03,0.03,18.56,1.47,325.32,433.82,130.41,155.26,148.65,177.65,40.32,78.85,0.53,0.8,8.26,22.85,6.44,1.97,31.09,11.91,30.76,16.88,11.21,7.79,7.12,1.97,9.24,17.12,7.88,11.47,8.26,20.85,0.26,546.88,62.18,207.35,235.68,110.0,17.88,546.85,17.35,7.71,267.18,8.35,3.32,16.68,7.91,322.74,2.24,0.21,0.09,12.32,12.32,2.38,0.0,0.12,0.03,49.56,15.5,14.41,3.41,1.56,4.35,2.79,0.21,0.12,0.06,0.03,0.03,1.5,3.71,10.62,24.97,5.15,8.35,13.91,1.09,1.41,29.91,24.59,73.76,20.03,29.62,20.44,0.06,-0.27,51.82,74.99,83.99,83.68,51.14,60.15,44.44,-0.04,64.14,34.93,7.84
Estudiantes–LP,27,1.3,1.23,13.26,4.56,0.11,0.19,23.37,2.3,396.26,510.93,164.85,192.74,177.11,209.59,46.11,82.26,0.85,0.89,10.15,37.04,7.74,2.63,46.67,14.3,46.19,17.96,11.15,6.96,9.04,1.96,7.96,16.67,8.7,11.78,10.22,21.52,0.22,629.81,51.44,169.78,322.07,144.04,20.44,629.63,18.7,9.26,327.11,12.48,3.37,18.04,9.7,392.85,2.44,0.04,0.04,12.19,10.59,1.56,0.07,0.15,0.07,48.07,19.22,19.41,1.81,1.26,3.81,2.63,0.19,0.15,0.15,0.0,0.0,1.26,3.41,9.44,18.7,5.3,7.67,15.44,1.3,0.67,38.63,27.74,107.15,25.67,34.19,19.11,0.0,0.06,49.75,77.56,85.53,84.5,56.05,55.18,49.52,0.0,69.03,36.12,8.42
Eupen,30,0.8,0.98,9.9,3.17,0.03,0.03,16.93,1.37,340.63,455.5,134.03,162.0,154.47,187.27,40.87,80.57,0.6,0.64,7.23,24.07,5.23,1.6,32.53,13.67,32.23,18.1,11.4,9.73,6.33,2.03,8.6,18.3,9.7,12.93,10.67,24.3,0.57,572.2,76.43,219.07,249.9,108.97,15.37,572.17,14.43,6.13,374.23,11.27,3.37,15.5,8.3,337.23,1.87,0.07,0.03,13.07,10.2,2.47,0.03,0.2,0.13,50.67,12.53,16.23,1.43,1.93,5.57,3.73,0.17,0.2,0.13,0.03,0.03,1.75,3.67,12.3,28.2,5.1,9.07,15.87,0.7,1.07,28.77,23.8,78.43,18.3,25.57,20.0,0.07,-0.18,43.55,74.78,82.73,82.49,50.73,54.95,42.48,-0.1,66.97,29.84,4.41
Excelsior,34,1.41,1.38,11.09,4.03,0.03,0.03,19.38,2.44,329.88,438.26,124.53,147.21,144.35,170.71,53.71,98.47,1.26,0.99,8.74,26.79,6.47,2.24,30.5,16.88,30.18,17.71,10.97,10.15,5.74,1.82,8.32,16.68,8.35,12.29,10.32,24.09,0.35,558.29,78.88,223.12,225.06,116.09,17.68,558.26,18.24,9.12,293.97,10.76,4.91,15.35,8.15,326.35,1.5,0.12,0.03,8.21,8.03,1.24,0.03,0.06,0.03,48.24,14.35,15.82,0.76,2.15,6.0,3.88,0.18,0.06,0.06,0.0,0.0,1.78,9.76,27.76,38.56,5.47,7.82,16.03,1.24,0.59,30.18,23.5,77.56,21.82,31.29,19.29,0.0,0.02,47.55,75.27,84.59,84.56,54.54,56.09,50.0,-0.21,64.67,35.16,7.74
