Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
kz Astana FK,6,4,4.7,48,10,0,1,86,8,1704,2258,718,812,740,890,196,427,4,3.2,41,129,32,11,168,77,165,96,57,46,42,8,50,109,59,68,57,110,1,2930,395,1121,1273,580,74,2929,111,50,1545,49,20,105,45,1698,20,1,1,95,65,8,1,2,0,291,61,87,29,13,36,23,1,2,2,0,0,9.3,16,97,139,31,56,84,8,5
md Sheriff Tiraspol,6,4,3.3,43,14,0,0,70,7,1772,2329,713,821,806,930,202,435,3,1.7,27,91,18,2,113,59,112,112,71,70,35,7,56,92,36,87,58,148,2,3089,536,1413,1295,407,51,3089,105,45,1520,52,11,121,47,1751,21,3,2,69,76,7,0,2,2,312,67,91,30,17,37,22,0,2,2,0,0,14.6,49,150,175,28,52,126,10,3
nl AZ Alkmaar,6,7,5.7,60,21,1,1,112,13,2696,3266,1151,1265,1180,1340,257,456,5,8.5,49,213,59,11,255,101,253,74,51,36,27,11,35,72,37,61,54,86,2,3816,368,1186,1686,974,147,3815,104,43,2342,66,41,68,52,2671,6,2,0,73,48,26,1,0,0,284,72,80,50,12,22,10,2,0,0,0,0,8.0,34,82,203,29,20,70,4,8
nl Ajax,10,14,14.5,85,38,2,2,162,27,4336,5193,1843,2006,1969,2186,403,734,10,10.3,68,279,83,15,357,132,355,152,84,81,53,18,65,143,78,88,92,161,11,6143,930,2400,2659,1117,184,6141,125,57,3958,116,31,132,78,4279,22,5,3,121,89,18,2,2,0,423,98,65,65,20,59,39,1,2,2,0,0,19.4,46,148,458,42,74,123,9,10
nl Feyenoord,8,10,12.9,115,40,0,1,206,18,3985,4738,1656,1835,1974,2181,277,503,6,9.7,83,316,86,10,392,149,391,121,78,51,46,24,59,114,55,89,73,111,2,5598,514,1749,2596,1301,201,5597,163,96,3568,115,40,130,62,3944,21,0,0,101,70,15,1,2,2,400,62,66,79,12,28,18,1,2,2,0,0,11.1,20,72,334,39,31,77,3,19
nl PSV Eindhoven,8,8,11.2,124,42,2,2,232,15,3151,3937,1407,1592,1292,1489,352,604,5,9.7,103,281,70,20,347,174,343,131,84,58,58,15,63,124,61,99,65,104,1,4861,489,1540,2121,1242,189,4859,179,93,2927,115,57,140,71,3121,13,0,0,86,81,16,2,0,0,437,97,113,30,13,34,21,1,0,0,0,0,10.9,33,86,220,27,50,89,1,6
no Bodø/Glimt,8,14,14.1,103,41,1,1,183,26,3669,4361,1522,1675,1708,1911,323,539,11,11.0,83,249,79,11,362,193,360,108,66,47,39,22,53,112,59,80,62,129,2,5219,556,1762,2241,1269,222,5218,169,83,3414,123,51,152,62,3631,18,2,1,69,96,10,1,1,1,413,51,59,77,12,31,20,1,1,1,0,0,7.5,28,77,279,34,42,122,8,12
no Molde,10,20,13.2,117,48,0,0,203,38,3669,4637,1659,1903,1558,1795,310,626,17,7.9,88,220,79,20,305,150,303,146,97,76,54,16,78,162,84,125,89,227,7,5740,652,2133,2477,1183,213,5740,156,80,3061,96,35,154,69,3637,21,0,0,113,102,12,0,1,1,482,119,109,68,18,49,32,1,1,1,0,0,14.4,31,106,283,48,80,146,10,10
pl Legia Warsaw,8,11,8.5,83,23,1,1,157,19,2865,3623,1246,1417,1239,1441,310,578,8,7.5,66,255,56,22,307,118,307,99,61,41,41,17,45,103,58,62,56,126,4,4359,426,1316,2003,1077,157,4358,96,50,2488,92,30,133,51,2845,18,0,0,110,88,20,1,0,0,354,116,98,47,12,30,18,2,0,0,0,0,11.9,26,97,233,22,37,72,2,21
pl Raków,6,3,8.4,61,13,0,0,106,4,2187,2848,938,1081,934,1129,269,493,2,5.2,48,149,46,15,235,106,232,81,54,44,31,6,40,93,53,70,45,115,5,3529,455,1212,1579,775,103,3529,114,50,1927,81,17,99,54,2152,9,1,0,60,67,9,0,2,0,349,81,84,25,10,35,25,1,2,2,0,0,12.8,25,89,182,21,61,89,3,18
