Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Toronto FC,34,37.84,39.86,20.05,36.71,43.02,70.72,28.38,42.34,76.58,73.42,81.08,78.38,68.92,66.22,79.73,51.58,45.27,63.96,30.18,66.67,61.71,27.25,58.11,51.13,58.11,28.15,25.9,33.33,40.99,43.02,26.13,5.86,96.85,57.43,35.36,19.82,13.96,72.97,61.26,89.19,64.86,54.95,69.82,72.97,70.27,70.05,71.17,57.88,82.66,66.22,41.22,76.13,7.21,28.83,4.95,45.95,55.86,17.79,80.63,44.59,48.65,52.25,19.37,84.68,40.99,14.86,70.72,52.93,41.67,56.08,72.07,25.0,38.74,84.46,21.4,32.43,60.81,50.0,36.71,18.92,34.68,81.53,16.22,54.05,56.53,28.83,69.59,22.07,19.14,38.51,60.14,82.88,86.71,81.98,81.53,90.32,57.66,28.38,10.81,21.17,44.59
Twente,34,93.69,91.44,96.85,82.88,43.02,29.95,94.14,94.14,80.18,85.59,76.13,81.98,80.18,80.41,69.37,84.23,90.54,97.75,96.4,92.34,97.75,63.51,92.79,86.26,93.24,33.11,20.05,13.74,45.72,89.41,72.52,87.39,9.46,34.46,17.57,7.66,52.25,87.84,47.07,58.56,71.17,97.75,96.85,87.84,43.24,31.53,74.77,59.91,83.33,63.96,48.87,79.95,93.92,59.91,59.01,89.64,38.51,42.34,21.62,26.13,18.24,92.79,46.85,18.02,57.66,75.45,30.41,39.64,64.64,74.32,72.07,65.54,38.74,42.12,35.14,56.76,71.17,75.0,19.37,8.11,26.35,91.89,68.69,57.21,91.89,96.85,96.4,42.79,53.6,80.18,10.36,57.88,51.8,72.07,40.99,5.41,17.12,88.29,77.48,15.32,46.85
UANL,34,92.79,79.95,65.32,66.89,86.49,81.98,66.89,96.4,86.49,86.49,83.78,82.43,89.19,90.09,75.23,51.58,95.05,69.82,73.87,84.23,79.28,94.14,88.29,77.93,87.84,58.56,49.55,43.24,80.63,35.81,67.57,66.67,32.88,23.42,47.3,4.95,27.03,86.49,58.56,63.51,87.39,79.73,68.47,86.49,52.93,60.81,83.78,61.71,63.51,66.22,11.04,86.04,53.15,59.91,86.94,77.25,68.69,45.05,48.87,86.26,18.24,86.94,6.31,81.98,61.04,61.04,54.28,65.99,54.05,14.64,25.45,25.0,38.74,34.23,55.63,42.79,90.54,55.41,36.04,19.37,59.23,87.84,9.01,33.78,86.94,78.15,75.23,56.98,19.14,95.95,10.81,84.23,86.04,86.49,75.68,31.53,80.86,36.26,83.33,72.75,74.32
UNAM,34,77.7,75.68,82.21,62.61,93.24,88.96,80.63,73.65,40.09,38.51,27.93,23.87,55.41,54.5,50.45,41.89,68.24,62.39,81.08,57.66,51.8,62.39,54.05,75.9,54.95,74.32,88.29,40.99,93.47,21.17,46.62,77.7,11.26,28.38,15.54,37.84,71.62,40.99,36.04,26.13,59.01,38.74,58.11,40.99,90.99,90.99,39.19,69.14,63.51,13.96,53.15,40.09,12.39,59.91,86.94,32.21,23.42,83.78,48.87,2.93,18.24,88.74,58.56,49.1,9.91,63.51,40.99,47.3,81.31,97.52,97.52,89.19,38.74,34.23,75.9,62.16,37.39,67.34,87.16,44.14,80.41,90.54,56.31,23.87,57.21,79.73,57.66,75.9,81.76,68.69,64.19,52.7,51.35,56.76,50.9,37.84,71.62,44.37,62.61,87.84,85.14
Union SG,30,96.4,97.3,92.79,95.95,99.77,99.1,90.99,97.3,59.01,63.06,45.5,59.91,57.66,63.96,83.78,70.27,93.24,92.57,92.79,77.93,86.04,36.49,93.24,94.14,92.79,96.85,98.2,76.35,95.5,98.42,98.65,98.65,1.8,97.75,98.87,21.62,24.55,70.27,20.72,37.39,72.07,86.49,93.69,70.27,91.89,68.24,91.44,94.14,95.05,4.95,14.41,58.56,46.62,70.95,59.01,46.4,51.35,27.93,100.0,70.05,81.76,99.55,72.97,41.89,82.43,79.5,7.21,6.31,60.14,30.41,46.17,25.0,38.74,19.37,67.12,33.78,79.28,46.4,3.15,7.66,37.39,67.79,67.12,5.86,93.24,92.57,91.44,98.2,19.14,66.44,72.07,37.84,11.71,24.32,80.63,70.72,6.31,52.93,24.55,96.4,61.26
Unión,27,14.64,22.52,50.68,20.27,54.5,36.94,45.5,17.79,12.16,15.32,4.95,5.41,27.48,30.86,77.48,91.89,13.29,27.03,38.51,37.84,58.11,91.89,44.59,14.41,44.59,87.61,88.74,70.95,83.56,71.85,78.38,71.85,36.49,18.92,83.33,55.41,97.97,15.77,7.21,16.22,23.87,40.54,36.49,15.77,26.13,25.68,14.41,26.35,13.29,12.16,34.23,12.16,41.44,28.83,26.13,72.52,23.42,70.27,59.68,5.41,81.76,24.55,85.14,13.96,56.76,86.71,22.3,29.28,92.12,95.05,95.5,80.18,38.74,18.24,56.31,63.74,13.96,55.41,65.09,43.02,47.07,48.2,89.19,16.67,38.74,40.09,40.09,87.39,68.92,23.42,46.85,12.16,3.6,18.92,32.88,73.2,38.74,73.42,70.72,38.29,47.3
Utrecht,34,67.34,68.24,59.46,64.86,16.44,11.71,63.29,65.54,45.5,53.15,39.19,40.99,50.9,57.21,54.05,65.32,63.74,80.63,64.64,56.98,77.48,81.53,73.2,59.91,73.42,50.9,55.18,52.7,49.1,57.21,63.06,64.86,32.88,36.04,8.56,63.96,52.25,53.15,68.92,36.04,52.25,62.16,77.48,53.15,17.12,26.13,44.14,39.19,59.68,30.18,78.15,45.5,95.72,77.25,59.01,79.5,23.42,74.55,21.62,26.13,48.65,77.25,48.65,53.38,42.79,43.24,71.85,78.6,41.67,74.32,72.07,65.54,38.74,63.96,66.22,68.47,61.94,65.32,52.93,40.99,91.67,62.16,48.65,47.07,73.42,63.74,76.58,58.56,53.6,56.53,58.11,29.28,31.98,27.93,34.91,44.14,68.02,63.51,63.51,55.86,93.69
Vancouver W'caps,34,72.52,77.7,44.82,52.25,27.48,29.95,49.77,69.14,72.52,68.47,47.75,36.94,90.09,89.19,95.05,90.09,73.65,89.41,54.05,70.27,72.52,92.57,50.68,20.72,51.8,13.06,11.04,9.46,35.36,40.32,9.68,7.66,88.06,40.99,41.89,56.98,36.04,63.51,72.07,66.67,59.46,59.46,68.92,63.51,1.13,1.35,69.59,39.64,27.48,95.95,97.97,73.42,74.32,59.91,31.53,87.39,17.12,51.13,31.98,26.13,18.24,9.46,23.87,82.66,24.55,36.94,42.79,32.66,29.28,74.32,72.07,65.54,38.74,69.82,37.84,34.23,44.59,11.71,19.37,47.3,26.35,22.3,19.82,98.65,44.59,52.03,68.02,8.33,53.6,50.0,67.57,84.68,86.71,92.79,91.44,45.5,47.3,63.51,23.42,40.54,26.8
Vasco da Gama,38,36.26,15.09,29.5,28.38,16.44,26.58,32.43,40.99,54.05,46.85,63.96,61.71,40.54,38.06,64.41,32.43,47.97,38.06,32.66,58.11,36.04,76.58,38.96,37.84,40.54,92.79,95.95,90.99,81.08,38.51,84.23,81.76,27.03,46.85,61.04,81.98,24.55,45.5,45.5,40.99,57.21,33.33,11.71,45.5,24.77,40.77,45.95,55.18,18.69,91.44,31.08,54.5,34.91,19.59,38.06,41.22,53.15,58.78,42.34,97.07,81.76,9.91,54.95,60.36,3.38,33.56,88.29,93.24,29.28,3.38,5.18,25.0,38.74,80.18,52.25,36.04,18.02,58.11,66.89,75.68,48.65,13.51,46.4,74.32,39.64,33.56,19.14,93.24,19.14,80.18,75.0,65.77,71.17,62.61,80.18,88.29,87.16,78.6,73.87,74.77,35.14
Venezia,38,88.96,82.43,68.47,54.5,67.79,61.94,71.17,87.39,67.12,68.92,58.11,61.26,81.08,81.53,77.03,67.12,82.43,83.33,72.07,61.26,70.27,68.92,62.16,79.73,62.61,1.35,2.7,9.01,0.9,30.18,1.35,1.35,98.2,57.43,12.16,42.34,36.04,67.57,65.32,77.03,63.51,57.66,76.35,67.57,9.91,8.56,65.32,64.41,55.18,66.22,93.92,67.34,85.36,34.91,21.85,37.61,54.05,77.48,59.68,26.13,48.65,69.59,45.05,43.69,26.35,61.04,21.62,12.39,71.85,74.32,79.28,65.54,38.74,27.25,32.66,25.68,63.06,74.32,31.08,58.11,12.16,31.76,55.41,86.49,65.32,74.32,73.42,2.25,53.6,86.71,36.49,64.86,43.69,74.32,66.67,72.52,20.72,20.5,25.68,50.0,9.91
Vitesse,34,10.59,31.08,58.33,59.68,16.44,11.71,58.33,13.51,49.55,54.95,55.18,56.31,45.05,44.14,62.39,81.53,28.38,64.41,62.16,44.14,42.57,27.25,42.79,76.8,41.89,23.42,18.92,52.7,8.11,57.21,13.06,32.43,45.27,64.19,49.1,30.63,36.04,56.76,89.19,76.58,42.79,50.9,76.35,56.76,84.23,76.58,55.41,51.58,89.19,22.97,50.0,49.55,83.11,28.83,16.89,55.18,11.26,71.62,8.11,17.12,48.65,76.13,78.38,41.44,11.71,3.15,98.2,97.75,5.86,83.33,72.07,89.19,38.74,97.75,91.44,95.05,89.19,63.06,58.56,34.01,18.24,43.24,71.62,29.5,50.0,49.55,71.62,15.77,81.76,6.08,79.28,39.64,39.64,50.45,31.98,9.01,36.94,36.26,33.33,34.23,18.69
Vitória,72,54.5,49.77,48.2,41.44,84.01,81.98,50.45,55.41,28.83,23.87,30.63,30.63,32.43,30.18,15.32,13.96,51.35,38.06,44.14,27.48,40.09,79.5,40.99,31.53,40.09,37.16,40.09,51.58,44.59,17.57,62.16,55.41,51.35,44.82,47.3,70.72,61.71,22.07,32.88,18.47,34.23,35.14,38.06,22.07,36.04,34.23,29.73,31.08,22.52,63.51,59.01,28.83,18.47,41.67,73.42,25.23,76.13,30.18,84.91,50.9,31.53,42.34,76.8,33.56,38.29,56.98,40.99,42.34,54.05,50.0,50.9,50.0,77.48,43.69,48.2,45.5,36.04,18.02,43.24,74.32,50.9,45.05,73.87,62.61,38.29,50.45,36.94,47.3,53.6,63.51,68.47,40.32,47.07,38.29,36.94,57.66,35.59,52.93,56.76,51.8,37.39
Vizela,34,22.3,45.05,42.57,42.79,27.48,43.02,45.95,25.45,48.2,45.95,67.57,65.77,30.63,27.03,24.77,27.03,31.98,49.77,46.4,47.07,50.0,85.81,48.65,28.83,49.55,19.37,15.09,42.12,21.17,30.18,29.95,44.82,45.27,62.61,15.54,78.83,61.71,47.75,60.81,53.15,41.89,50.0,40.09,47.75,34.23,34.23,45.05,35.14,36.71,18.92,24.77,48.2,39.64,28.83,16.89,5.86,92.79,56.76,68.69,26.13,18.24,50.9,53.38,39.64,38.96,8.33,70.72,47.3,41.67,74.32,72.07,25.0,86.94,78.6,55.63,51.35,51.8,27.7,76.13,88.74,43.24,84.23,60.81,18.92,43.47,41.44,44.59,19.59,53.6,15.99,37.84,53.38,72.52,43.69,26.13,10.36,39.64,6.98,4.95,61.26,23.87
Volendam,34,19.37,26.8,6.76,20.27,16.44,11.71,7.66,20.27,11.71,9.01,8.56,8.11,17.12,13.51,37.84,73.87,18.47,23.2,13.51,9.91,5.41,17.57,6.76,42.57,7.66,77.48,62.16,97.3,18.47,27.48,90.99,95.5,3.15,84.23,44.59,93.24,36.04,8.56,93.69,61.26,6.31,10.36,20.72,8.56,42.79,49.77,12.61,43.24,35.36,76.13,75.0,10.36,88.06,59.91,31.53,94.59,0.45,56.76,21.62,90.99,81.76,33.78,76.13,19.59,47.97,0.9,100.0,100.0,3.83,9.46,13.51,25.0,38.74,99.55,94.59,96.85,91.67,84.23,80.18,81.08,93.02,78.15,77.25,78.83,10.36,7.66,14.41,83.33,19.14,24.55,42.57,17.57,22.07,23.42,14.86,10.81,70.05,36.26,42.57,30.18,83.78
Vélez Sarsfield,27,63.96,76.35,44.14,49.32,88.29,86.04,43.69,51.13,32.88,42.79,40.99,51.8,26.58,34.23,45.05,31.98,49.77,56.53,41.67,48.65,62.16,16.44,83.33,86.94,83.33,78.15,67.57,76.35,74.32,58.11,55.86,48.65,57.66,65.32,43.47,80.63,68.02,52.25,34.68,34.23,48.2,72.52,60.59,52.25,79.28,71.85,29.28,72.52,58.78,1.8,5.41,32.88,68.69,28.83,45.5,78.15,82.43,48.42,59.68,66.22,31.53,82.43,69.14,12.61,76.58,99.55,5.86,16.67,99.1,34.23,32.43,80.18,38.74,0.9,25.9,29.73,38.06,85.14,63.74,32.66,22.97,49.55,79.73,2.25,84.23,43.92,55.63,63.51,68.92,30.63,17.12,19.82,18.92,13.06,52.7,46.85,36.94,85.36,98.65,29.73,26.8
Watford,46,60.36,39.86,64.86,48.2,11.49,8.33,65.32,52.7,68.47,70.72,62.61,62.16,77.93,78.38,87.39,89.19,65.54,52.25,74.32,64.41,63.06,44.14,69.82,81.53,69.82,44.14,51.58,62.16,46.4,19.59,72.52,49.55,71.17,62.16,65.77,29.73,20.27,73.42,69.82,83.33,64.19,68.47,65.32,73.42,63.96,60.36,67.12,62.84,84.68,23.42,41.89,68.47,48.2,70.95,70.72,35.14,24.55,51.13,8.11,44.59,10.81,76.58,34.46,54.28,21.62,49.77,52.93,53.6,68.47,47.07,18.02,96.17,38.74,53.38,7.66,21.62,94.59,77.48,0.9,24.32,23.87,93.47,40.99,27.93,74.32,63.06,68.92,61.94,93.24,82.43,33.78,62.61,53.6,62.61,69.82,87.84,53.15,63.51,54.95,6.31,33.78
