Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penaltys Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Jason Steele,eng ENG,GK,Brighton,32,1990,22,22,1980,1.95,4.18,2.32,0.18,0.14,0.14,0.0,0.0,1.51,2.55,7.0,35.14,3.82,3.0,9.73,0.32,2.55,0.0,-0.29,55.5,36.43,3.29
Jaume Doménech,es ESP,GK,Valencia,32,1990,2,1,79,3.42,13.67,10.25,0.0,0.0,0.0,0.0,0.0,1.94,4.56,22.78,27.34,2.28,7.97,21.65,1.14,1.14,0.0,-0.76,74.98,20.02,5.27
Jay Gorter,nl NED,GK,nl Ajax,23,2000,2,2,180,2.0,8.5,6.5,0.0,0.0,0.0,0.0,0.0,2.5,5.0,17.5,51.0,9.0,6.0,13.5,1.0,0.0,0.0,0.2,76.47,28.57,7.41
Jean Butez,fr FRA,GK,be Antwerp,28,1995,5,5,450,3.0,6.0,3.2,0.0,0.0,0.0,0.0,0.0,2.1,6.8,15.6,40.0,5.2,3.2,10.4,1.6,0.6,0.0,-0.43,53.33,43.59,15.38
Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1,1,90,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,22.0,5.0,4.0,8.0,0.0,0.0,0.0,-1.0,0.0,10.0,0.0
Jens Grahl,de GER,GK,Eint Frankfurt,34,1988,4,3,315,0.86,4.57,3.71,0.29,0.0,0.0,0.0,0.0,0.83,1.14,9.71,32.86,6.57,5.71,14.0,1.43,1.43,0.0,-0.04,81.18,11.74,10.21
Jeremías Ledesma,ar ARG,GK,Cádiz,30,1993,34,34,3048,1.39,4.46,3.07,0.27,0.06,0.06,0.0,0.0,1.37,9.24,23.18,26.49,3.4,8.39,15.53,1.56,1.33,0.0,-0.01,68.83,39.86,10.05
Jesse Öst,fi FIN,GK,fi HJK,32,1990,3,2,258,3.49,8.72,5.23,0.0,0.35,0.35,0.0,0.0,3.38,4.19,15.7,27.91,3.49,12.56,19.88,0.35,0.0,0.0,-0.03,59.98,26.69,1.76
Jesús Owono,gq EQG,GK,Alavés,22,2001,4,4,360,2.0,6.0,4.0,0.25,0.0,0.0,0.0,0.0,1.6,9.0,19.25,22.0,2.25,7.75,7.25,1.0,2.0,0.0,-0.25,66.67,46.75,13.79
Jindřich Staněk,cz CZE,GK,cz Viktoria Plzeň,27,1996,5,5,450,1.6,4.0,2.4,0.4,0.0,0.0,0.0,0.0,1.3,6.2,16.8,29.8,3.4,6.4,12.8,0.8,0.0,0.0,-0.23,60.0,36.9,6.25
